"Numero do Processo de Compra";"Procedimento de Contratacao";Objeto;"Situacao do Processo";"Ogao Demandante";"Valor de Referencia";"Valor Homologado";Economias
"1259974 000026/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE APARELHOS DE AR CONDICIONADO PARA EQUIPAR O AUDITÓRIO DA 19ª RPM";Concluído;"POLICIA MILITAR DE MINAS GERAIS";6.000,00;6.000,00;0,00
"1259966 000019/2019";PREGAO;"FRIGOBARES PARA ATENDER DEMANDA DAS BASES DE SEGURANCA COMUNITARIA NA AREA DA 2ªRPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";45.395,00;0,00;45.395,00
"0513007 000148/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";15.315,00;15.315,00;0,00
"0518005 000016/2019";"DISPENSA DE LICITACAO";"Prestação de serviço de exames de tomografias e angiotomografias, em caráter de urgência para o HRAD.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";14.300,00;14.300,00;0,00
"0512010 000059/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.938,86;7.938,86;0,00
"2012008 000227/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MICROLAMINAS E OUTROS MATERIAIS";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";68.469,44;68.469,44;0,00
"1031018 000173/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de mobiliários de madeira para utilização no Edifício Sede, através da ARP 18/2019 - Lotes 1 e 2.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";63.741,20;63.741,20;0,00
"0525005 000035/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";212.003,67;212.003,66;0,01
"0512010 000045/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DIPIRONA - PRINCIPIO ATIVO: DIPIRONA SODICA; 
METOCLOPRAMIDA, CLORIDRATO 
OLEO MINERAL PURO - PRINCIPIO ATIVO: OLEO MINERAL PURO 
DOMPERIDONA - PRINCIPIO ATIVO: DOMPERIDONA";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";476,54;468,50;8,04
"0512010 000048/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"NOREPINEFRINA;
DILUENTE;
DILUENTE 50ml;
MIDAZOLAM;
GLICOSE 
;SAIS PARA REIDRATACão ORAL
";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.151,15;2.151,15;0,00
"0513007 000151/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.794,90;1.794,90;0,00
"0522008 000010/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO HOSPITALAR (FEVEREIRO 2019)";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";26.329,76;26.329,76;0,00
"0513007 000073/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";24.500,00;24.500,00;0,00
"0511023 000009/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de DIETA para consumo na Unidade HCM.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";10.256,80;10.256,80;0,00
"1261347 000004/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Registro de Preços para Contratação de serviços de reserva, emissão, remarcação ou alteração e entrega de bilhetes de passagens aéreas nacionais e internacionais.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";1.595.192,94;1.595.192,94;0,00
"0518005 000021/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS DIVERSOS PARA ABASTECIMENTO DA FARMÁCIA DO HRAD.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";50.784,76;53.058,75;-2.273,99
"1259965 000012/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de alimentação para os semoventes da Cia PM Ind P Cães da PMMG.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";3.840,00;3.750,00;90,00
"2311076 000132/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR

RP 256-2018

PLAN 191-2018";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";20.134,40;20.134,40;0,00
"1250072 000029/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Viatura motocicleta Honda XRE 300cc para atender plano de trabalho do convênio com a Prefeitura de Montes Claros.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";105.600,00;105.600,00;0,00
"0501044 000179/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MÉDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.160,00;4.160,00;0,00
"2311076 000133/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR

RP 230-2018

PLAN 229-2018";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";2.760,00;2.760,00;0,00
"1011014 000008/2019";PREGAO;"sistema de pressurização das escadas do edifício Carlos Drummons de Andrade";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";207.441,55;155.000,00;52.441,55
"1321021 000004/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de material de limpeza";Concluído;"SECRETARIA DE ESTADO DA SAUDE";2.166,60;2.166,60;0,00
"2201002 000007/2019";PREGAO;"Serviços e publicação de atos oficiais do IEPHA em jornal de grande circulação no Estado de Minas Gerais e em jornais produzidos e veiculados  em municípios localizados no interior de Minas Gerais.";Concluído;"INST. EST. DO PATRIMONIO HIST. E ARTISTICO DE MG";16.350,00;8.687,10;7.662,90
"0519031 000157/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISICAO DE DIETAS ENTERAIS PARA ATENDER O HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";10.601,55;10.601,55;0,00
"0512010 000200/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COLETOR DE AMOSTRAS USO LABORATORIO para urocultura";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";700,00;700,00;0,00
"2012008 000638/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"TUBO ENDOTRAQUEAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";58,44;58,44;0,00
"2261032 000140/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE LABORATÓRIO - BIOQUÍMICO E OUTROS - RP 153/2018";Concluído;"FUNDACAO EZEQUIEL DIAS";20,00;20,00;0,00
"0521009 000137/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";118,90;118,90;0,00
"1261315 000003/2019";"DISPENSA DE LICITACAO - POR VALOR";"Gás de cozinha.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";660,00;650,00;10,00
"1321024 000015/2019";"DISPENSA DE LICITACAO - POR VALOR";"Gêneros alimentícios e bebidas";Concluído;"SECRETARIA DE ESTADO DA SAUDE";3.441,00;2.667,50;773,50
"1259969 000027/2019";"DISPENSA DE LICITACAO - POR VALOR";"Concertina para o 55° BPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";6.440,96;6.440,96;0,00
"0520009 000033/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";DIETAS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";460,80;460,80;0,00
"2012008 000075/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ENXERTO ARTERIAL";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";2.776,00;2.776,00;0,00
"1031018 000063/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Bobina para calculadora 14 dígitos";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";40,50;40,50;0,00
"2012008 000071/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DOXAZOSINA,MESILATO E OUTROS MATERIAIS";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";162,76;162,76;0,00
"0513007 000043/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CENTRAL ANTISSÉPTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";135,00;135,00;0,00
"1031018 000049/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de pincéis e apagador para quadro branco para suprir o estoque da COMAT pelo período aproximado de 6 meses.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";1.755,07;944,50;810,57
"0520009 000037/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";SUPLEMENTO;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";612,00;612,00;0,00
"1321129 000018/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"BOSENTANA - 62,5 MG - Ata 228/2018
Processo SEI 1320.01.0031655/2018-86";Concluído;"SECRETARIA DE ESTADO DA SAUDE";30.728,40;30.728,40;0,00
"1441003 000004/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE PLAQUETAS DE PATRIMÔNIO COM CÓDIGO DE BARRAS EM ALUMÍNIO ANODIZADO COM AUTO ADESIVA";Concluído;"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";2.600,00;0,00;2.600,00
"0519031 000023/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISICAO DE MATERIAL MEDICO PARA ATENDER O HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";197.852,95;197.852,95;0,00
"2371330 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"Prestação eventual de serviço de limpeza em imóvel.";Concluído;"INSTITUTO MINEIRO DE AGROPECUARIA";750,00;750,00;0,00
"0501044 000012/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS MANIPULADOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";392,10;392,10;0,00
"1031018 000074/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ARP 114/2018 - LOTE 01 - BROCAS";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";5.935,00;5.935,00;0,00
"1031018 000077/2019";"DISPENSA DE LICITACAO - POR VALOR";"Adequação da entrada de energia do fórum de Abre Campo.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";32.877,43;32.479,94;397,49
"2012008 000038/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CONJ. CPAP NASAL.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.256,27;1.256,27;0,00
"0520009 000021/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";540,00;540,00;0,00
"2012008 000040/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CATETER E OUTROS.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";14.570,00;14.570,00;0,00
"1321129 000005/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ClOPRIDOGEL 75 mg - ATA 270/2018 -                                            PROCESSO SEI Nº 1320.01.0004847/2019-85";Concluído;"SECRETARIA DE ESTADO DA SAUDE";3.045,00;3.045,00;0,00
"1031018 000035/2019";"DISPENSA DE LICITACAO";"Construção do novo prédio do Fórum da Comarca de Peçanha.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";5.250.370,62;5.250.370,62;0,00
"1031018 000048/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa especializada em fornecimento e instalação de vidros no Fórum Lafayette.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";3.934,20;3.235,80;698,40
"1031018 000136/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de placa indicativa de sinalização - ARP 326/2018";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";679,65;679,65;0,00
"1257654 000007/2019";PREGAO;"Peças originais de primeira linha de montagem para veículos e motocicletas, para manutenção da Frota da PMMG/11ª RPM em Montes Claros/MG.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";53.014,75;53.014,75;0,00
"1691001 000005/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR - CATETERES E DIVERSOS";Concluído;"SESP - INATIVO.";279,60;279,60;0,00
"0509025 000003/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";9.000,00;9.000,00;0,00
"0512010 000015/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COMPRA DE MATERIAL MÉDICO HOSPITALAR CURATIVOS 
";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.586,50;2.190,00;1.396,50
"1261347 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de 6(seis) aparelhos “Headset” , com microfone, tipo monoauricular, haste inteligente flexível e ajustável e cabo com plug RJ9, compatível com aparelho Cisco IP Phone 7945.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";766,20;706,02;60,18
"2371310 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"Limpeza predial executada por diarista - pessoa física.";Concluído;"INSTITUTO MINEIRO DE AGROPECUARIA";1.440,00;1.440,00;0,00
"0521009 000025/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"

                    MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.281,90;2.281,89;0,01
"0501044 000014/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"GÊNEROS ALIMENTÍCIOS E BEBIDAS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";23.229,00;23.229,00;0,00
"0506007 000002/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de medicamento: (Carbonato de Lítio - dosagem de 300mg na forma de comprimidos - total de 4000 comprimidos , caixa de 500 no valor de R$600,00) para atender a farmácia CAF da Unidade CMT.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";660,00;660,00;0,00
"0510037 000023/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.416,90;7.416,90;0,00
"0525005 000012/2019";"DISPENSA DE LICITACAO - POR VALOR";"EXAMES LABORATORIAIS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";355,00;340,00;15,00
"1261023 000006/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"ARTIGOS DOMÉSTICOS E DESCARTÁVEIS";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";1.182,65;1.182,65;0,00
"1091002 000045/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Aquisição de switch.";Concluído;"PROCURADORIA GERAL DE JUSTICA";322.800,00;322.800,00;0,00
"0503007 000079/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE TESTE RÁPIDO DE DENGUE PARA ATENDER DEMANDA URGENTE DO HIJPII";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.116,00;1.075,20;40,80
"1250071 000013/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"SERVIÇOS DE TELEFONIA FIXA - LOTE 16 - RP 160/2018";Concluído;"POLICIA MILITAR DE MINAS GERAIS";149.088,68;149.088,68;0,00
"0507011 000017/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.252,56;1.252,56;0,00
"0513007 000054/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.279,60;1.279,60;0,00
"0519031 000019/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISICAO DE DIETAS PARENTERAIS PARA ATENDER O HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";106.050,00;106.050,00;0,00
"1261002 000002/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material de Escritório e Informática.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";6.281,75;6.281,75;0,00
"0525005 000017/2019";"DISPENSA DE LICITACAO - POR VALOR";"MATERIAL MÉDICO - PÁS PARA ELETRODO COMPATÍVEL COM DESFIBRILADOR EXTERNO AUTOMATICO CMOS DRAKE";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.030,90;2.200,00;-169,10
"2012008 000081/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"CLORETO DE SODIO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";50.498,40;50.498,40;0,00
"2012008 000084/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"SERINGA E OUTROS.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";13.136,00;13.136,00;0,00
"3051002 000015/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL - EPI'S";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";31.910,70;31.908,54;2,16
"1321019 000003/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO MAT. ELÉTRICO P/ REFORMA E ADAPTAÇÃO DO PRÉDIO NOVO ONDE FUNCIONARÁ OS SETORES NUVAST, NAF, E VISA, CONF. SOLICITADO VIA EMAIL P/ RESPONSÁVEL P/ OBRA EDSON NOBRE (ENGENHEIRO SRS M.CLAROS).";Concluído;"SECRETARIA DE ESTADO DA SAUDE";8.364,55;7.218,10;1.146,45
"1321129 000036/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"VARIAS DIETAS -ATA 203/2018                                                          PROCESSO SEI Nº 1320.01.0014917/2019-86";Concluído;"SECRETARIA DE ESTADO DA SAUDE";117.251,00;117.251,00;0,00
"1321500 000017/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTO: BEVACIZUMABE 25 MG/ML (100 MG) SOLUCAO INJETAVEL 4 ML (AVASTIN)
QUANTIDADE/OLHO: 1 PARA OLHO DIREITO E 1 PARA OLHO ESQUERDO
PERIODICIDADE: MENSAL
DURAÇÃO:  FORNECER DURANTE 6 MESES.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.760,00;1.760,00;0,00
"0507011 000023/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";601,50;601,50;0,00
"0507011 000020/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTO;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";282,10;282,10;0,00
"0507011 000025/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";219,00;219,00;0,00
"1259967 000002/2019";"DISPENSA DE LICITACAO - POR VALOR";"MATERIAL PARA FINALIZAÇÃO DE REFORMA DO PISO DO NAIS DA 5ª RPM";Concluído;"POLICIA MILITAR DE MINAS GERAIS";46,21;0,00;46,21
"2012008 000142/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"IFOSFAMIDA E OUTROS";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";10.278,48;10.278,48;0,00
"0516013 000057/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 219/2018 – Pregão 253/2018.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.866,25;4.866,25;0,00
"0521009 000043/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";1.975,00;1.975,00;0,00
"0510037 000098/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS DE LABORATÓRIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.827,25;2.827,25;0,00
"1321024 000002/2019";"DISPENSA DE LICITACAO - POR VALOR";"ARTIGOS PARA LIMPEZA E HIGIENE";Concluído;"SECRETARIA DE ESTADO DA SAUDE";2.399,24;2.563,52;-164,28
"2012008 000231/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";RISPERIDONA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";126,90;126,90;0,00
"0501044 000193/2019";"RECADASTRAMENTO DE PROCESSOS";"CONTRATAÇÃO DE EMPRESA PRESTADORA DE SERVIÇO DE BANCO DE PREÇOS PARA PESQUISAS E COMPARAÇÃO DE PREÇOS, VIA WEB.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.990,00;7.990,00;0,00
"0501044 000192/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"EQUIPAMENTO MÉDICO HOSPITALAR, COMPONENTES E ACESSÓRIOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";19.800,00;19.800,00;0,00
"5141001 000003/2019";PREGAO;"Fornecimento gás combustível GLP 20 kg.";Concluído;"CIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MG";10.732,80;0,00;10.732,80
"2012008 000126/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"TRAMADOL E OUTROS.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";17.989,86;17.989,86;0,00
"1031018 000109/2019";"DISPENSA DE LICITACAO - POR VALOR";"Pastas Poliondas";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";279,20;254,40;24,80
"3051008 000003/2019";"DISPENSA DE LICITACAO - POR VALOR";"SERVIÇO DE COMBATE A PRAGAS";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";1.700,00;1.650,00;50,00
"2371036 000026/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Gerenciamento do abastecimento da frota de veículos do IMA.";Concluído;"INSTITUTO MINEIRO DE AGROPECUARIA";752.760,00;752.760,00;0,00
"1259965 000011/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de alimentação para os semoventes da Cia PM Ind P Cães da PMMG.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";5.550,00;0,00;5.550,00
"1321127 000009/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"ATA DE RP 78/2019 - GERENCIAMENTO DO ABASTECIMENTO DE VEICULOS POR MEIO DE SISTEMA E DISPOSITIVOS
ELETRONICOS DE GESTAO
SEI: 1320.01.0051277/2019-06";Concluído;"SECRETARIA DE ESTADO DA SAUDE";582.120,00;582.120,00;0,00
"1011014 000010/2019";"DISPENSA DE LICITACAO - POR VALOR";"Placas de sinalização";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";11.747,85;9.998,50;1.749,35
"1011014 000068/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";Combustíveis;Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";93.516,00;93.516,00;0,00
"1401269 000029/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Lote 2: serviço de gerenciamento do abastecimento, da froat do CBMMG";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";1.084.320,00;1.084.320,00;0,00
"3051008 000012/2019";"DISPENSA DE LICITACAO - POR VALOR";"EXAMES ANDROLÓGICO  EM  BOVINOS";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";8.200,00;7.980,00;220,00
"3051008 000006/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE PNEUS PARA TRATORES E IMPLEMENTOS AGRÍCOLAS";Concluído;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";38.044,60;35.948,40;2.096,20
"0509025 000001/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";16.326,27;16.326,27;0,00
"0500005 000009/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";231.493,50;231.493,50;0,00
"1252122 000002/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Medicamentos, Dieta e Material Médico Hospitalar para atender a demanda dos usuários do SISAU em atendimento no HPM, através de registro de preços realizado no SIRP.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";140.013,17;140.013,17;0,00
"1321129 000001/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Medicamento por decisão judicial - Ata 228/2018
Processo SEI 1320.01.0004871/2019-19";Concluído;"SECRETARIA DE ESTADO DA SAUDE";72.052,80;72.052,80;0,00
"0513007 000006/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE LABORATÓRIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";30,00;30,00;0,00
"2012008 000172/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";SUFENTALINA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";7.201,20;7.201,20;0,00
"0511023 000024/2019";"DISPENSA DE LICITACAO - POR VALOR";"
AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS DE INFORMÁTICA PARA ATENDER DEMANDA DO HCM.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";989,00;746,00;243,00
"0513007 000111/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";22.000,00;22.000,00;0,00
"0511023 000022/2019";"DISPENSA DE LICITACAO - POR VALOR";"	Aquisição de materiais para confecção do mobiliário da farmácia do Hospital Cristiano Machado.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";600,00;349,78;250,22
